Vp,	T,	n,	j
2344.34991104189,	19307.64007909297,	4.6093999262488657e+27,	-7038842209524.108
2344.34991104189,	7068.0347140818885,	4.6093999262488657e+27,	-1273962257181.662
2344.34991104189,	22016.92429218832,	4.6093999262488657e+27,	-8587985392603.711
2344.34991104189,	4850.332816118366,	4.6093999262488657e+27,	-621444712833.2805
2344.34991104189,	11218.078620484464,	4.6093999262488657e+27,	-2943328760425.113
2344.34991104189,	13168.64000497199,	4.6093999262488657e+27,	-3849939391968.5254
2344.34991104189,	22627.014188156285,	4.6093999262488657e+27,	-8948499262841.08
2344.34991104189,	5343.508369440882,	4.6093999262488657e+27,	-747357341488.7253
2344.34991104189,	15458.539522558933,	4.6093999262488657e+27,	-4984757761157.19
2344.34991104189,	9130.006351406431,	4.6093999262488657e+27,	-2048128548662.5605
2344.34991104189,	27003.16529583177,	4.6093999262488657e+27,	-11675168932325.87
2344.34991104189,	24503.86226937742,	4.6093999262488657e+27,	-10088457102137.797
2344.34991104189,	9575.096909472188,	4.6093999262488657e+27,	-2230906349196.981
2344.34991104189,	22506.68847545116,	4.6093999262488657e+27,	-8876991547119.494
2344.34991104189,	16983.51583205545,	4.6093999262488657e+27,	-5777461063785.874
2344.34991104189,	17578.310052028635,	4.6093999262488657e+27,	-6094279800898.799
2344.34991104189,	26591.819606703462,	4.6093999262488657e+27,	-11408739153201.787
2344.34991104189,	25682.31141759713,	4.6093999262488657e+27,	-10826884517703.312
2344.34991104189,	12287.190969688116,	4.6093999262488657e+27,	-3432706210632.7905
2344.34991104189,	23259.59441783589,	4.6093999262488657e+27,	-9327319681901.03
2344.34991104189,	25570.07072172837,	4.6093999262488657e+27,	-10755807395093.71
2344.34991104189,	9231.277327962627,	4.6093999262488657e+27,	-2089283535107.8755
2344.34991104189,	17917.09897013134,	4.6093999262488657e+27,	-6276464818116.817
2344.34991104189,	21055.343568138094,	4.6093999262488657e+27,	-8029257287094.095
2344.34991104189,	7858.453677375331,	4.6093999262488657e+27,	-1554955089877.524
2344.34991104189,	17451.27805156573,	4.6093999262488657e+27,	-6026325290912.924
2344.34991104189,	3489.913094908664,	4.6093999262488657e+27,	-332462268358.672
2344.34991104189,	14484.23895258637,	4.6093999262488657e+27,	-4493092748647.002
2344.34991104189,	8334.554365900753,	4.6093999262488657e+27,	-1734156904415.961
2344.34991104189,	21991.91879854841,	4.6093999262488657e+27,	-8573318862942.6
2344.34991104189,	6961.260782114265,	4.6093999262488657e+27,	-1237716988161.5603
2344.34991104189,	22848.9503387699,	4.6093999262488657e+27,	-9080878275633.12
2344.34991104189,	21530.31417537713,	4.6093999262488657e+27,	-8303905040238.413
2344.34991104189,	25874.137033523733,	4.6093999262488657e+27,	-10948700459469.518
2344.34991104189,	26736.476445429653,	4.6093999262488657e+27,	-11502206931468.465
2344.34991104189,	12175.98588566824,	4.6093999262488657e+27,	-3380919324358.8403
2344.34991104189,	23342.046564728116,	4.6093999262488657e+27,	-9377173553026.518
2344.34991104189,	16917.29857964827,	4.6093999262488657e+27,	-5742440969603.086
2344.34991104189,	24944.57808360016,	4.6093999262488657e+27,	-10362615278310.863
2344.34991104189,	23440.04784386032,	4.6093999262488657e+27,	-9436508338148.377
2344.34991104189,	3632.135778709713,	4.6093999262488657e+27,	-358554088237.81525
2344.34991104189,	12536.382202057515,	4.6093999262488657e+27,	-3549491071575.49
2344.34991104189,	7397.901599057573,	4.6093999262488657e+27,	-1388573897434.8892
2344.34991104189,	23324.186481941288,	4.6093999262488657e+27,	-9366367252571.904
2344.34991104189,	19913.571943471117,	4.6093999262488657e+27,	-7377925864520.492
2344.34991104189,	27670.206242655306,	4.6093999262488657e+27,	-12111872344684.838
2344.34991104189,	24729.57539400517,	4.6093999262488657e+27,	-10228584334891.709
2344.34991104189,	22539.96574358956,	4.6093999262488657e+27,	-8896748355291.365
2344.34991104189,	23517.696444141944,	4.6093999262488657e+27,	-9483640549814.31
2344.34991104189,	8977.74898956767,	4.6093999262488657e+27,	-1986722085797.1052
2344.34991104189,	9680.364752116724,	4.6093999262488657e+27,	-2274843613014.6562
2344.34991104189,	22461.941807829666,	4.6093999262488657e+27,	-8850453942363.098
2344.34991104189,	12695.142033745757,	4.6093999262488657e+27,	-3624440917966.0356
2344.34991104189,	15597.619664512851,	4.6093999262488657e+27,	-5055886881502.534
2344.34991104189,	18068.15110542284,	4.6093999262488657e+27,	-6358231143103.222
2344.34991104189,	26279.2546791188,	4.6093999262488657e+27,	-11207539333712.387
2344.34991104189,	10476.316771426353,	4.6093999262488657e+27,	-2615142056683.2437
2344.34991104189,	10855.985793186395,	4.6093999262488657e+27,	-2781906125678.341
2344.34991104189,	9537.1625122765,	4.6093999262488657e+27,	-2215135583465.3687
2344.34991104189,	14345.774663966702,	4.6093999262488657e+27,	-4424380670160.682
2344.34991104189,	20543.59007838992,	4.6093999262488657e+27,	-7735487332100.786
2344.34991104189,	13753.94966035776,	4.6093999262488657e+27,	-4133208829874.5884
2344.34991104189,	26528.19321027741,	4.6093999262488657e+27,	-11367705032408.537
2344.34991104189,	2413.411052478871,	4.6093999262488657e+27,	-167318339088.76352
2344.34991104189,	8618.388735473278,	4.6093999262488657e+27,	-1844193065127.3818
2344.34991104189,	1769.4544668495332,	4.6093999262488657e+27,	-95674335874.00854
2344.34991104189,	18249.896428999396,	4.6093999262488657e+27,	-6457038896736.855
2344.34991104189,	11039.606159612871,	4.6093999262488657e+27,	-2863484334691.4097
2344.34991104189,	10791.094701467411,	4.6093999262488657e+27,	-2753216639434.1064
2344.34991104189,	17862.59165152487,	4.6093999262488657e+27,	-6247038658396.938
2344.34991104189,	18098.560695309923,	4.6093999262488657e+27,	-6374727287364.757
2344.34991104189,	2561.4554226284936,	4.6093999262488657e+27,	-186632855739.01877
2344.34991104189,	7199.352496507837,	4.6093999262488657e+27,	-1319108889372.5994
2344.34991104189,	3788.676774963311,	4.6093999262488657e+27,	-388412523955.16235
2344.34991104189,	19339.846352269247,	4.6093999262488657e+27,	-7056759923771.893
2344.34991104189,	27599.14325300739,	4.6093999262488657e+27,	-12065060155368.873
2344.34991104189,	7600.409193025589,	4.6093999262488657e+27,	-1460845387981.8994
2344.34991104189,	12008.25045545517,	4.6093999262488657e+27,	-3303572066242.2812
2344.34991104189,	25014.70492475726,	4.6093999262488657e+27,	-10406455154150.299
2344.34991104189,	28332.70016633007,	4.6093999262488657e+27,	-12551768505196.217
2344.34991104189,	18350.763234491395,	4.6093999262488657e+27,	-6512054366745.363
2344.34991104189,	5567.745745638238,	4.6093999262488657e+27,	-808319362579.8209
2344.34991104189,	24374.371063638853,	4.6093999262488657e+27,	-10008354695859.355
2344.34991104189,	5964.552418984126,	4.6093999262488657e+27,	-921914171317.7072
2344.34991104189,	5658.260647793531,	4.6093999262488657e+27,	-833588275968.4602
2344.34991104189,	25280.469117299817,	4.6093999262488657e+27,	-10573168543160.676
2344.34991104189,	11499.873187608764,	4.6093999262488657e+27,	-3070581219862.461
2344.34991104189,	21248.895695842264,	4.6093999262488657e+27,	-8140870278930.045
2344.34991104189,	7129.923785855932,	4.6093999262488657e+27,	-1295158706101.3257
2344.34991104189,	24260.88100664595,	4.6093999262488657e+27,	-9938318609624.752
2344.34991104189,	26856.072227303637,	4.6093999262488657e+27,	-11579666316882.385
2344.34991104189,	4496.456380758406,	4.6093999262488657e+27,	-537963061765.77356
2344.34991104189,	2175.6427958926743,	4.6093999262488657e+27,	-138537774505.52176
2344.34991104189,	18867.480406422743,	4.6093999262488657e+27,	-6795414362036.748
2344.34991104189,	8190.646370223983,	4.6093999262488657e+27,	-1679262530101.7776
2344.34991104189,	3872.095264318603,	4.6093999262488657e+27,	-404807668740.83374
2344.34991104189,	13731.97968807093,	4.6093999262488657e+27,	-4122492642581.5938
2344.34991104189,	9945.031094106997,	4.6093999262488657e+27,	-2386428590910.166
2344.34991104189,	23808.55429380802,	4.6093999262488657e+27,	-9660831022037.48
2344.34991104189,	17218.963263449485,	4.6093999262488657e+27,	-5902444890885.032
2344.34991104189,	16395.56617615487,	4.6093999262488657e+27,	-5468349894861.259
2344.34991104189,	8350.047580883922,	4.6093999262488657e+27,	-1740103345940.6462
2344.34991104189,	6365.243327767998,	4.6093999262488657e+27,	-1043800223208.4922
2344.34991104189,	1977.4854678933957,	4.6093999262488657e+27,	-116641098074.46281
2344.34991104189,	10448.685157365884,	4.6093999262488657e+27,	-2603108236714.8594
